C/A,YDS,TD,INT,CAR,YDS,TD,REC,YDS,TD,TAR,%ROST,+/-,TOT,AVG
0/0,0,0,0,0,0,0,47,699,3,83,3.1,-0.4,135,9
0/0,0,0,0,4,20,0,50,642,3,74,12.5,-1,134.9,9.6
0/0,0,0,0,0,0,0,53,590,4,86,51.9,6.3,134.9,9
0/0,0,0,0,146,621,4,26,193,1,35,21.6,3.7,134.6,9.6
0/0,0,0,0,0,0,0,0,0,0,0,32.7,12.2,134.5,8.4
0/0,0,0,0,4,23,0,57,571,3,87,5.5,-0.9,131.3,8.8
0/0,0,0,0,0,0,0,0,0,0,0,94.4,0.5,131,8.2
0/0,0,0,0,0,0,0,45,618,4,75,2.7,0,129.9,8.7
0/0,0,0,0,83,345,4,36,287,1,48,5.2,1.4,129.7,9.3
0/0,0,0,0,192,756,6,11,84,0,15,78.7,-3.5,129.6,9.3
0/0,0,0,0,0,0,0,0,0,0,0,35.8,7.8,128.4,8
0/0,0,0,0,131,583,4,22,181,1,28,52.8,-6.6,128.3,9.2
0/0,0,0,0,0,0,0,0,0,0,0,80.1,3.2,128.3,8
0/0,0,0,0,0,0,0,0,0,0,0,99.3,0,127.7,8
0/0,0,0,0,0,0,0,48,620,3,77,1.6,-0.1,126.3,8.4
0/0,0,0,0,0,0,0,51,517,4,74,53.3,1.5,126.1,8.4
0/0,0,0,0,2,7,0,47,558,4,71,56.2,3,125.8,8.4
0/0,0,0,0,111,459,5,22,219,2,29,51,-5.6,125.6,9
0/0,0,0,0,0,0,0,0,0,0,0,89,0.6,125.1,7.8
0/0,0,0,0,0,0,0,52,552,3,81,1.8,0,125,8.3
0/0,0,0,0,128,522,6,17,141,1,23,18.1,3.3,124.5,8.9
0/0,0,0,0,62,254,1,45,331,2,58,7,0.4,124.2,8.9
0/0,0,0,0,2,10,0,44,579,4,70,2.7,0.1,123.9,8.3
0/0,0,0,0,0,0,0,48,538,4,67,13.1,3.7,123.5,8.2
0/0,0,0,0,0,0,0,43,577,4,72,3.6,-0.2,123.1,8.2
0/0,0,0,0,0,0,0,0,0,0,0,17,3.6,122.4,7.7
0/0,0,0,0,0,0,0,0,0,0,0,58.4,0.1,122.4,7.7
0/0,0,0,0,0,0,0,0,0,0,0,98.6,0.1,122.3,7.6
0/0,0,0,0,0,0,0,0,0,0,0,98,-0.1,120.7,7.5
0/0,0,0,0,0,0,0,45,552,3,68,18.9,6.3,120.4,8
0/0,0,0,0,0,0,0,47,531,3,67,27.9,6.3,119.2,7.9
0/0,0,0,0,0,0,0,0,0,0,0,6.6,0.4,119,7.4
0/0,0,0,0,0,0,0,50,527,3,67,1.8,-0.1,118.3,7.9
0/0,0,0,0,0,0,0,0,0,0,0,5.1,0,118,7.4
0/0,0,0,0,0,0,0,0,0,0,0,11.8,0.3,117.8,7.4
0/0,0,0,0,0,0,0,0,0,0,0,11.9,0.6,117.6,7.3
0/0,0,0,0,0,0,0,42,493,4,69,29.1,2.5,117.5,7.8
0/0,0,0,0,0,0,0,0,0,0,0,1.4,0.2,116.6,7.3
0/0,0,0,0,0,0,0,0,0,0,0,47.1,-12.6,116.4,7.3
0/0,0,0,0,0,0,0,0,0,0,0,36.1,-9.1,115.8,7.2
0/0,0,0,0,0,0,0,0,0,0,0,61.8,8.4,115.7,7.2
0/0,0,0,0,0,0,0,0,0,0,0,0.9,0.2,115.6,7.2
0/0,0,0,0,0,0,0,0,0,0,0,4,0.4,115.4,7.2
0/0,0,0,0,0,0,0,0,0,0,0,4,0.9,115.3,7.2
0/0,0,0,0,4,16,0,42,463,4,58,6.5,1.6,114.9,7.7
0/0,0,0,0,0,0,0,0,0,0,0,8.1,-0.5,114.3,7.1
0/0,0,0,0,0,0,0,0,0,0,0,16.3,-3.2,113,7.1
0/0,0,0,0,0,0,0,0,0,0,0,90,0.7,112.9,7.1
0/0,0,0,0,4,22,0,37,537,3,73,24.4,-4.9,111.5,8
0/0,0,0,0,0,0,0,0,0,0,0,0.9,-0.2,111,6.9
0/0,0,0,0,0,0,0,0,0,0,0,1.3,-0.2,110.1,6.9
0/0,0,0,0,0,0,0,0,0,0,0,55.1,-15.2,109,6.8
0/0,0,0,0,61,248,1,40,321,1,52,1.9,0,108.6,7.8
0/0,0,0,0,0,0,0,0,0,0,0,47,10.1,108.6,6.8
0/0,0,0,0,0,0,0,41,482,3,62,7.4,1.4,107.8,7.2
0/0,0,0,0,0,0,0,38,511,3,59,60.8,-1.2,107.7,7.2
0/0,0,0,0,0,0,0,0,0,0,0,0.6,-0.1,107.5,6.7
0/0,0,0,0,0,0,0,0,0,0,0,88.1,-1.8,107.5,6.7
0/0,0,0,0,0,0,0,33,484,4,59,2.1,0,106.2,7.1
0/0,0,0,0,0,0,0,0,0,0,0,48.1,0.3,105.5,6.6
0/0,0,0,0,119,499,3,19,164,1,25,22.8,-1.3,105.1,7.5
0/0,0,0,0,0,0,0,39,494,3,66,1.2,0,103.7,6.9
0/0,0,0,0,0,0,0,40,393,4,55,14.6,-0.7,103.2,6.9
0/0,0,0,0,0,0,0,40,426,3,59,3.5,1,103,6.9
0/0,0,0,0,0,0,0,0,0,0,0,0.4,0,102.9,6.4
